time,user_id,eeg_1,eeg_2,emg_1,emg_2,blink_l,blink_r,gaze_x,gaze_y,gaze_z,event_label
2026-06-02 09:13:02.076+00,6021713,14.477401971817017,-5.543321371078491,24.63984489440918,21.486684679985046,,,,,,Null
2026-06-02 09:13:02.08+00,6021713,0,0,0,0,,,,,,Null
2026-06-02 09:13:02.084+00,6021713,13.460174202919006,-6.534799933433533,25.956586003303528,23.61975610256195,,,,,,Null
2026-06-02 09:13:02.084+00,6021713,,,,,1,1,0.06114573776721954,0.24380072951316833,-4.144143104553223,Null
2026-06-02 09:13:02.088+00,6021713,13.463303446769714,-6.525546312332153,25.98586678504944,23.65417778491974,,,,,,Null
2026-06-02 09:13:02.092+00,6021713,13.453423976898193,-6.5179020166397095,25.997310876846313,23.681893944740295,,,,,,Null
2026-06-02 09:13:02.096+00,6021713,13.451054692268372,-6.523579359054565,25.98242461681366,23.66727590560913,,,,,,Null
2026-06-02 09:13:02.1+00,6021713,13.45624029636383,-6.526663899421692,25.951310992240906,23.632541298866272,,,,,,Null
2026-06-02 09:13:02.104+00,6021713,13.452395796775818,-6.52804970741272,25.93950927257538,23.62033724784851,,,,,,Null
2026-06-02 09:13:02.108+00,6021713,13.453781604766846,-6.533101201057434,25.955379009246826,23.63048493862152,,,,,,Null
2026-06-02 09:13:02.112+00,6021713,13.444125652313232,-6.533950567245483,25.965973734855652,23.650646209716797,,,,,,Null
2026-06-02 09:13:02.116+00,6021713,13.444393873214722,-6.52487576007843,25.958821177482605,23.653417825698853,,,,,,Null
2026-06-02 09:13:02.116+00,6021713,,,,,1,1,0.059698835015296936,0.24310921132564545,-4.144678592681885,Null
2026-06-02 09:13:02.12+00,6021713,13.456866145133972,-6.521299481391907,25.95578134059906,23.631200194358826,,,,,,Null
2026-06-02 09:13:02.124+00,6021713,13.45302164554596,-6.53386116027832,25.95922350883484,23.618683218955994,,,,,,Null
2026-06-02 09:13:02.128+00,6021713,13.45740258693695,-6.533503532409668,25.964319705963135,23.642510175704956,,,,,,Null
2026-06-02 09:13:02.132+00,6021713,13.449624180793762,-6.526350975036621,25.98358690738678,23.665308952331543,,,,,,Null
2026-06-02 09:13:02.136+00,6021713,13.451099395751953,-6.51213526725769,25.968879461288452,23.64465594291687,,,,,,Null
2026-06-02 09:13:02.14+00,6021713,13.443142175674438,-6.517812609672546,25.942817330360413,23.62208068370819,,,,,,Null
2026-06-02 09:13:02.144+00,6021713,13.44260573387146,-6.5371692180633545,25.93052387237549,23.612424731254578,,,,,,Null
2026-06-02 09:13:02.144+00,6021713,,,,,1,1,0.0572696328163147,0.2422022968530655,-4.145524024963379,Null
2026-06-02 09:13:02.148+00,6021713,13.441309332847595,-6.5496861934661865,25.95515549182892,23.623287677764893,,,,,,Null
2026-06-02 09:13:02.152+00,6021713,13.457536697387695,-6.5491944551467896,25.993332266807556,23.638352751731873,,,,,,Null
2026-06-02 09:13:02.156+00,6021713,13.465940952301025,-6.543561816215515,25.9743332862854,23.621901869773865,,,,,,Null
2026-06-02 09:13:02.16+00,6021713,13.455972075462341,-6.532251834869385,25.945723056793213,23.616895079612732,,,,,,Null
2026-06-02 09:13:02.16+00,6021713,,,,,1,1,0.056251395493745804,0.24171006679534912,-4.146183490753174,Null
2026-06-02 09:13:02.164+00,6021713,13.456150889396667,-6.530553102493286,25.95256268978119,23.61564338207245,,,,,,Null
2026-06-02 09:13:02.168+00,6021713,13.45275342464447,-6.53328001499176,25.971069931983948,23.64376187324524,,,,,,Null
2026-06-02 09:13:02.172+00,6021713,13.448819518089294,-6.535694003105164,25.980859994888306,23.64903688430786,,,,,,Null
2026-06-02 09:13:02.176+00,6021713,13.445243239402771,-6.527960300445557,25.963470339775085,23.63888919353485,,,,,,Null
